Nº;Nº RADICADO;AREA/ PROGRAMA;ASUNTO;MEDIO;TIPO DE SOLICITUD;DESTINATARIO O RESPONSABLE;FECHA RADICACION;DIAS TRAMITE;FECHA LIMITE;ESTADO
36;N/A;TÉCNICA;SOLICITUD AUXILIOS DEPORTIVOS;E-MAIL;PETICION;TÉCNICA;06/19/2021 12:00:00 AM;15;07/09/2021 12:00:00 AM;FINALIZADO
37;N/A;TÉCNICA;SOLICITUD DE APOYO INSTITUCIONAL - FUNDACIÓN FEI REGIONAL TOLIMA;E-MAIL;PETICION;TÉCNICA;06/24/2021 12:00:00 AM;15;07/15/2021 12:00:00 AM;FINALIZADO
38;N/A;TÉCNICA;SOLICITUD LOTERIA DEL TOLIMA;E-MAIL;PETICION;TÉCNICA;06/25/2021 12:00:00 AM;15;07/16/2021 12:00:00 AM;FINALIZADO
39;N/A;TÉCNICA;SOLICITUD  CLÍNICA INTERNACIONAL Y DIRECCIÓN TÉCNICA DE FUTBOL SALA;E-MAIL;PETICION;TÉCNICA;06/29/2021 12:00:00 AM;15;07/20/2021 12:00:00 AM;FINALIZADO
40;N/A;JURÍDICA;SOLICITUD;E-MAIL;PETICION;JURÍDICA;07/01/2021 12:00:00 AM;15;07/22/2021 12:00:00 AM;FINALIZADO
41;N/A;TÉCNICA;ACTA Y DOCUMENTOS DEL PRIMER COMITE DE JUSTICIA TRANSICIONAL;E-MAIL;PETICION;TÉCNICA;07/11/2021 12:00:00 AM;5;07/16/2021 12:00:00 AM;FINALIZADO
42;N/A;TÉCNICA;SOLICITUD APOYO LOGISTICO LIGA TOLIMENSE DE SAVATE;E-MAIL;PETICION;TÉCNICA;07/12/2021 12:00:00 AM;10;07/26/2021 12:00:00 AM;FINALIZADO
43;N/A;TÉCNICA;LAS OLIMPIADAS DEPARTAMENTALES CAMPESINAS;E-MAIL;PETICION;TÉCNICA;07/12/2021 12:00:00 AM;10;07/26/2021 12:00:00 AM;FINALIZADO
44;N/A;TÉCNICA;SOLICITUD CITA Y APOYO;E-MAIL;PETICION;TÉCNICA;07/12/2021 12:00:00 AM;15;08/02/2021 12:00:00 AM;FINALIZADO
45;N/A;JURÍDICA;DERECHO DE PETICIÓN SOLICITUD ENTREGA DE RECURSOS;E-MAIL;PETICION;JURÍDICA;07/13/2021 12:00:00 AM;15;08/03/2021 12:00:00 AM;FINALIZADO
46;N/A;TÉCNICA;CLUB ERIKA LEVY Y SOLICITUD DE ENTRENADOR;E-MAIL;PETICION;TÉCNICA;07/14/2021 12:00:00 AM;15;08/04/2021 12:00:00 AM;FINALIZADO
47;N/A;TÉCNICA;TRASLADO SOLICITUD;E-MAIL;PETICION;TÉCNICA;07/15/2021 12:00:00 AM;10;07/29/2021 12:00:00 AM;FINALIZADO
48;N/A;TÉCNICA;SOLICITUD PAGO PREMIACIÓN VUELTA AL TOLIMA;E-MAIL;PETICION;TÉCNICA;07/21/2021 12:00:00 AM;15;08/11/2021 12:00:00 AM;FINALIZADO
49;N/A;TÉCNICA;SOLICITUD ESCENARIO ENTRENAMIENTO;E-MAIL;PETICION;TÉCNICA;07/25/2021 12:00:00 AM;15;08/13/2021 12:00:00 AM;FINALIZADO
50;N/A;TÉCNICA;REITERACIÓN LIQUIDACIÓN CONVENIO 1435/2019;E-MAIL;PETICION;TÉCNICA;07/26/2021 12:00:00 AM;10;08/09/2021 12:00:00 AM;FINALIZADO
51;N/A;TÉCNICA;SOLICITUD CERTIFICACION DE MEDALLAS PARA LA UNIVERSIDAD DEL TOLIMA UT;E-MAIL;PETICION;TÉCNICA;07/28/2021 12:00:00 AM;15;08/18/2021 12:00:00 AM;FINALIZADO
52;N/A;JURÍDICA;DERECHO DE PETICION;E-MAIL;PETICION;JURÍDICA;07/29/2021 12:00:00 AM;15;08/19/2021 12:00:00 AM;FINALIZADO
53;N/A;JURÍDICA;DERECHO DE PETICION;E-MAIL;PETICION;JURÍDICA;08/09/2021 12:00:00 AM;15;08/30/2021 12:00:00 AM;FINALIZADO
54;N/A;TÉCNICA;SOLICITUD DE CERTIFICADO PRÁCTICAS DE POSGRADO;E-MAIL;PETICION;TÉCNICA;08/11/2021 12:00:00 AM;10;08/25/2021 12:00:00 AM;FINALIZADO
55;N/A;TÉCNICA;SOLICITUD DE AYUDA PARA CONTINUAR CON ENTRENAMIENTOS EN LA 42;E-MAIL;PETICION;TÉCNICA;08/11/2021 12:00:00 AM;10;08/25/2021 12:00:00 AM;FINALIZADO
56;N/A;TÉCNICA;RECONOCIMIENTO DEPORTIVO;E-MAIL;PETICION;TÉCNICA;08/13/2021 12:00:00 AM;10;08/27/2021 12:00:00 AM;FINALIZADO
57;N/A;JURÍDICA;DERECHO DE PETICION;E-MAIL;PETICION;JURÍDICA;08/19/2021 12:00:00 AM;10;09/02/2021 12:00:00 AM;FINALIZADO
58;N/A;TÉCNICA;SOLICITUD CLUB DEPORTIVO FAST SKATER;E-MAIL;PETICION;TÉCNICA;09/07/2021 12:00:00 AM;10;09/21/2021 12:00:00 AM;FINALIZADO
59;N/A;TÉCNICA;SOLICITUD DE PREGUNTA;E-MAIL;PETICION;TÉCNICA;09/12/2021 12:00:00 AM;15;10/01/2021 12:00:00 AM;FINALIZADO
60;N/A;TÉCNICA;PROPUESTA DE CAPACITACIÓN;E-MAIL;PETICION;TÉCNICA;09/13/2021 12:00:00 AM;15;10/04/2021 12:00:00 AM;FINALIZADO
61;N/A;TÉCNICA;CORREO PQRSD POR COMPETENCIA - AZ/EMUL V.01;E-MAIL;PETICION;TÉCNICA;09/15/2021 12:00:00 AM;10;09/29/2021 12:00:00 AM;FINALIZADO
62;N/A;TÉCNICA;SOLICITUD PRUEBAS COVID;E-MAIL;PETICION;TÉCNICA;09/22/2021 12:00:00 AM;10;10/06/2021 12:00:00 AM;FINALIZADO
63;N/A;TÉCNICA;SOLICITUD INFORMACION FUT VICTIMAS PLAZO 8 DE OCTUBRE DE 2021;E-MAIL;PETICION;TÉCNICA;09/27/2021 12:00:00 AM;5;10/04/2021 12:00:00 AM;FINALIZADO
64;N/A;TÉCNICA;PRESTAMO SALON;E-MAIL;PETICION;TÉCNICA;09/27/2021 12:00:00 AM;15;10/18/2021 12:00:00 AM;FINALIZADO
65;N/A;TÉCNICA;SOLICITUD DOCUMENTOS PRIMER DESEMBOLSO CONVENIO 944- 2021;E-MAIL;PETICION;JURÍDICA;10/05/2021 12:00:00 AM;10;10/19/2021 12:00:00 AM;FINALIZADO
66;N/A;TÉCNICA;SOLICITUD DE ASIGNACIÓN MONITORIA DOCENTE DISCIPLINA DE PATINAJE;E-MAIL;PETICION;TÉCNICA;10/06/2021 12:00:00 AM;15;10/27/2021 12:00:00 AM;FINALIZADO
67;N/A;JURÍDICA;SOLICITUD DE INFORMACIÓN;E-MAIL;PETICION;JURÍDICA;10/07/2021 12:00:00 AM;10;10/21/2021 12:00:00 AM;FINALIZADO
68;N/A;TÉCNICA;SOLICITUD APOYO VALLEDUPAR;E-MAIL;PETICION;TÉCNICA;10/12/2021 12:00:00 AM;15;11/02/2021 12:00:00 AM;FINALIZADO
69;N/A;TÉCNICA;SOLICITUD DE APOYO EN DOTACIÓN DE IMPLEMENTOS DEPORTIVOS.;E-MAIL;PETICION;TÉCNICA;10/21/2021 12:00:00 AM;15;11/11/2021 12:00:00 AM;FINALIZADO
70;N/A;TÉCNICA;SOLICITUD RECREACIONISTAS;E-MAIL;PETICION;TÉCNICA;10/22/2021 12:00:00 AM;10;11/05/2021 12:00:00 AM;FINALIZADO
71;N/A;TÉCNICA;SOLICITUD APOYO EVENTO DEPORTIVO Y RECREATIVO SAN RAFAEL - SANTA ISABEL;E-MAIL;PETICION;TÉCNICA;10/22/2021 12:00:00 AM;10;11/05/2021 12:00:00 AM;FINALIZADO
72;N/A;TÉCNICA;SOLICITUD MEDICA EQUIPO JUEGOS NACIONALES 2023;E-MAIL;PETICION;TÉCNICA;10/26/2021 12:00:00 AM;10;11/09/2021 12:00:00 AM;FINALIZADO
73;N/A;TÉCNICA;SOLICITUD TABLEROS;E-MAIL;PETICION;TÉCNICA;11/02/2021 12:00:00 AM;10;11/16/2021 12:00:00 AM;FINALIZADO
1;N/A;;SOLICITUD CERTIFICADO UNIVERSIDAD DEL TOLIMA;E-MAIL;solicitudes;Técnica;01/17/2022 12:00:00 AM;10;01/27/2022 12:00:00 AM;Finalizado
2;N/A;;SOLICIUTD CERTIFICADO SEMINARIO;E-MAIL;solicitudes;Técnica;01/17/2022 12:00:00 AM;15;02/01/2022 12:00:00 AM;Finalizado
3;N/A;;SOLICITUD CERTIFICADO UNIVERSIDAD DEL TOLIMA;E-MAIL;solicitudes;Técnica;01/18/2022 12:00:00 AM;15;02/02/2022 12:00:00 AM;Finalizado
4;N/A;;Solicitud APoyo Monitores;E-MAIL;solicitudes;Técnica;01/18/2022 12:00:00 AM;15;02/02/2022 12:00:00 AM;Finalizado
5;N/A;;Solicitud de ingreso deportistas Tenis de Mesa;E-MAIL;solicitudes;Técnica;01/20/2022 12:00:00 AM;15;02/04/2022 12:00:00 AM;Finalizado
6;N/A;;Revisión y pronunciamiento Plan de Mejoramiento;E-MAIL;solicitudes;Jurídica;01/21/2022 12:00:00 AM;15;02/05/2022 12:00:00 AM;Finalizado
7;N/A;;solicitud de información;E-MAIL;solicitudes;Jurídica;01/21/2022 12:00:00 AM;15;02/05/2022 12:00:00 AM;Finalizado
8;N/A;;Ayuda torneo comunal de futbol;E-MAIL;solicitudes;Técnica;01/24/2022 12:00:00 AM;15;02/08/2022 12:00:00 AM;Finalizado
9;N/A;;Solicitud de Implementación Deportiva Campeonato Microfútbol El Jordan;E-MAIL;solicitudes;Técnica;02/01/2022 12:00:00 AM;15;02/16/2022 12:00:00 AM;Finalizado
10;N/A;;Despacho del Gobernador solicitud;E-MAIL;solicitudes;Técnica;02/01/2022 12:00:00 AM;15;02/16/2022 12:00:00 AM;Finalizado
11;N/A;;APOYO ENTRENADORES Y/O INSTRUCTORES MUNICIPIO DE PIEDRAS;E-MAIL;solicitudes;Técnica;02/02/2022 12:00:00 AM;15;02/17/2022 12:00:00 AM;Finalizado
12;N/A;;Solicitud pago 2019;E-MAIL;solicitudes;Jurídica;02/03/2022 12:00:00 AM;10;02/13/2022 12:00:00 AM;Finalizado
13;N/A;;SOLICITUD DE VINCULACIÓN INSTITUCIONAL;E-MAIL;solicitudes;Técnica;02/04/2022 12:00:00 AM;10;02/14/2022 12:00:00 AM;Finalizado
14;N/A;;RADICACIÓN PETICIÓN ADMINISTRATIVA;E-MAIL;solicitudes;Jurídica;02/04/2022 12:00:00 AM;10;02/14/2022 12:00:00 AM;Finalizado
15;N/A;;SOLICITUD DONACION MATERIAL DEPORTIVO;E-MAIL;solicitudes;Técnica;02/04/2022 12:00:00 AM;10;02/14/2022 12:00:00 AM;Finalizado
16;N/A;;SOLICITUD DE INFORMACION;E-MAIL;solicitudes;Jurídica;02/07/2022 12:00:00 AM;5;02/12/2022 12:00:00 AM;Finalizado
17;N/A;;SOLICITUD DE REQUERIMIENTO;E-MAIL;solicitudes;Jurídica;02/08/2022 12:00:00 AM;8;02/16/2022 12:00:00 AM;Finalizado
18;N/A;;Solicitud de Implementos y dotación deportiva;E-MAIL;solicitudes;Técnica;02/08/2022 12:00:00 AM;15;02/23/2022 12:00:00 AM;Finalizado
19;N/A;;NOTIFICACION FALLO TUTELA;E-MAIL;notificacion;Jurídica;02/09/2022 12:00:00 AM;10;02/19/2022 12:00:00 AM;Finalizado
20;N/A;;CARTA PROPUESTA LA SENSIBILIZACIÓN;E-MAIL;solicitudes;Técnica;02/10/2022 12:00:00 AM;10;02/20/2022 12:00:00 AM;Finalizado
21;N/A;;Derecho de peticion convenio 336;E-MAIL;Derecho de Petición;Jurídica;02/11/2022 12:00:00 AM;15;02/26/2022 12:00:00 AM;Finalizado
22;N/A;;Petición implementos deportivos;E-MAIL;solicitudes;Técnica;02/15/2022 12:00:00 AM;15;03/02/2022 12:00:00 AM;Finalizado
23;N/A;;VERIFICACIÓN TÍTULOS OBTENIDOS POR DEPORTISTAS SEMESTRE A 2022;E-MAIL;solicitudes;Técnica;02/21/2022 12:00:00 AM;15;03/08/2022 12:00:00 AM;Finalizado
24;N/A;;AVISO EXTRAPROCESAL MARITZA RODRIGUEZ FUENTES;E-MAIL;solicitudes;Jurídica;02/21/2022 12:00:00 AM;10;03/03/2022 12:00:00 AM;Finalizado
25;N/A;;Vinculación brigada salud loteros;E-MAIL;solicitudes;Técnica;02/22/2022 12:00:00 AM;10;03/04/2022 12:00:00 AM;Finalizado
26;N/A;;SOLICITUD IMPLEMENTOS DEPORTIVOS;E-MAIL;solicitudes;Técnica;02/23/2022 12:00:00 AM;10;03/05/2022 12:00:00 AM;Finalizado
27;N/A;;Articulación Oferta Institucional;E-MAIL;solicitudes;Técnica;02/24/2022 12:00:00 AM;10;03/06/2022 12:00:00 AM;Finalizado
28;N/A;;Reenvio correo PQRSD por competencia - AZ/Emul v.01;E-MAIL;reclamos;Jurídica;02/24/2022 12:00:00 AM;10;03/06/2022 12:00:00 AM;Finalizado
29;N/A;;Solicitud;E-MAIL;solicitudes;Técnica;02/24/2022 12:00:00 AM;10;03/06/2022 12:00:00 AM;Finalizado
30;N/A;;Solicitud;E-MAIL;solicitudes;Técnica;02/25/2022 12:00:00 AM;10;03/07/2022 12:00:00 AM;Finalizado
31;N/A;;Solicitud Armero Guayabal;E-MAIL;solicitudes;Técnica;02/28/2022 12:00:00 AM;10;03/10/2022 12:00:00 AM;Finalizado
32;N/A;;solicitud apoyo;E-MAIL;Derecho de Petición;Técnica;03/04/2022 12:00:00 AM;10;03/14/2022 12:00:00 AM;Finalizado
33;N/A;;Seguimiento a la Ordenanza 0014 de 2021;E-MAIL;solicitudes;Técnica;03/15/2022 12:00:00 AM;10;03/25/2022 12:00:00 AM;Finalizado
34;N/A;;Solicitud;E-MAIL;solicitudes;Técnica;03/17/2022 12:00:00 AM;10;03/27/2022 12:00:00 AM;Finalizado
35;N/A;;solicitud de información;E-MAIL;solicitudes;Jurídica;03/19/2022 12:00:00 AM;10;03/29/2022 12:00:00 AM;Finalizado
36;N/A;;Solicitud, curso de capacitación de árbitros;E-MAIL;solicitudes;Técnica;03/30/2022 12:00:00 AM;10;04/09/2022 12:00:00 AM;Vencido
37;N/A;;SOLICITUD DE ENTRENADOR DE PATINAJE PARA EL CLUB DEPORTIVO MURILLO SKATE;E-MAIL;solicitudes;Técnica;03/30/2022 12:00:00 AM;10;04/09/2022 12:00:00 AM;Vencido
38;N/A;;Solicitud apoyo Vuelta Juventud;E-MAIL;solicitudes;Técnica;03/31/2022 12:00:00 AM;10;04/10/2022 12:00:00 AM;Vencido
39;N/A;;"Solicitud acampamiento oferta ""el tourt de la esperanza";E-MAIL;solicitudes;Técnica;04/04/2022 12:00:00 AM;10;04/14/2022 12:00:00 AM;Vencido
40;N/A;;Solicitud de apoyo;E-MAIL;solicitudes;Técnica;04/04/2022 12:00:00 AM;10;04/14/2022 12:00:00 AM;Vencido
41;N/A;;Envío OFI22-007000 Solicitud Apoyo-Indeportes;E-MAIL;solicitudes;Técnica;04/05/2022 12:00:00 AM;10;04/15/2022 12:00:00 AM;Vencido
42;N/A;;SOLICITUD CONVOCATORIA VI JUEGOS DEPORTIVOS, RECREATIVOS Y CULTURALES SECTOR EDUCATIVO;E-MAIL;solicitudes;Técnica;04/05/2022 12:00:00 AM;10;04/15/2022 12:00:00 AM;Vencido
43;N/A;;solicitud apoyo;E-MAIL;solicitudes;Técnica;04/07/2022 12:00:00 AM;10;04/17/2022 12:00:00 AM;Vencido
44;N/A;;Solicitud documento para radicacion carta Gerente 06 de abril 2022;E-MAIL;solicitudes;Técnica;04/07/2022 12:00:00 AM;10;04/17/2022 12:00:00 AM;Vencido
45;N/A;;IMPLEMENTOS INDEPORTES 2022;E-MAIL;solicitudes;Técnica;04/07/2022 12:00:00 AM;10;04/17/2022 12:00:00 AM;Vencido
46;N/A;;DERECHO DE PETICION SOLICITUD ACTA DE LIQUIDACION CONTRATO 657 Y CONTRATO 656 DE 2021;E-MAIL;solicitudes;Jurídica;04/11/2022 12:00:00 AM;15;04/26/2022 12:00:00 AM;Vencido
47;N/A;;Solicitud información diagnóstico;E-MAIL;solicitudes;Técnica;04/12/2022 12:00:00 AM;10;04/22/2022 12:00:00 AM;Vencido
48;N/A;;Solicitud informacion;E-MAIL;solicitudes;Técnica;04/13/2022 12:00:00 AM;10;04/23/2022 12:00:00 AM;Vencido
49;N/A;;SOLICITUD HOGAR COMUNITARIO ICBF;E-MAIL;solicitudes;Técnica;04/17/2022 12:00:00 AM;10;04/27/2022 12:00:00 AM;Vencido
50;N/A;;Solicitud, donación de 6 juegos de tableros para canchas de baloncesto;E-MAIL;solicitudes;Técnica;04/22/2022 12:00:00 AM;10;05/02/2022 12:00:00 AM;Vencido
51;N/A;;Queja;E-MAIL;reclamos;Técnica;04/25/2022 12:00:00 AM;10;05/05/2022 12:00:00 AM;Vencido
52;N/A;;solicitud apoyo Vuelta al Sur- Equipo del Tolima;E-MAIL;solicitudes;Técnica;04/27/2022 12:00:00 AM;15;05/12/2022 12:00:00 AM;En proceso
53;N/A;;Solicitud de tableros para la vereda el descanso del corregimiento de convenio;E-MAIL;solicitudes;Técnica;04/29/2022 12:00:00 AM;15;05/14/2022 12:00:00 AM;En proceso
54;N/A;;DERECHO DE PETICION;E-MAIL;Derecho de Petición;Jurídica;04/30/2022 12:00:00 AM;15;05/15/2022 12:00:00 AM;En proceso
55;N/A;;VEHICULO IMPIDE ACCESO A MI CASA;E-MAIL;reclamos;Jurídica;05/04/2022 12:00:00 AM;10;05/14/2022 12:00:00 AM;En proceso
56;N/A;;REMISIÓN COMUNICACIÓN OFICIO PMT 1022 DE MAYO 2022 - REITERACIÓN SOLICITUD INFORMACIÓN. EXP. 03042019-295;E-MAIL;solicitudes;Jurídica;05/04/2022 12:00:00 AM;10;05/14/2022 12:00:00 AM;En proceso
57;N/A;;Solicitud colaboración logistica CLUB SOCIAL DEPORTIVO PICALEÑA;E-MAIL;solicitudes;Técnica;05/05/2022 12:00:00 AM;10;05/15/2022 12:00:00 AM;En proceso
