No pqr;Periodo;Medio;Clasificación;Secretaria;Dependencia relacionada;Producto
1,188;2,018;Web;Queja;1000 SECRETARÍA DE EDUCACIÓN;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,187;2,018;Web;Queja;0600 SECRETARÍA DE INFRAESTRUCTURA;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,186;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,185;2,018;Web;Peticion;0600 SECRETARÍA DE INFRAESTRUCTURA;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,184;2,018;Web;Peticion;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,182;2,018;Buzón;Peticion;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,181;2,018;Buzón;Peticion;0800 SECRETARÍA DE GOBIERNO;1200 SECRETARÍA DE DEPORTE Y RECREACIÓN;Evidencias
1,179;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,178;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,177;2,018;Web;Queja;0800 SECRETARÍA DE GOBIERNO;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;Evidencias
1,176;2,018;Web;Queja;0800 SECRETARÍA DE GOBIERNO;1400 SECRETARÍA DE HACIENDA;Evidencias
1,175;2,018;Web;Peticion;1500 SECRETARÍA DE GESTIÓN ADMINISTRATIVA;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;Evidencias
1,174;2,018;Web;Peticion;1000 SECRETARÍA DE EDUCACIÓN;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,173;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;1400 secretaría de hacienda;Evidencias
1,172;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,170;2,018;Web;Peticion;1000 SECRETARÍA DE EDUCACIÓN;1000 secretaría de educación;Evidencias
1,169;2,018;Buzón;Queja;1500 SECRETARÍA DE GESTIÓN ADMINISTRATIVA;Servicios generales;Evidencias
1,168;2,018;Web;Queja;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,167;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;840 dirección de espacio público;Evidencias
1,166;2,018;Buzón;Queja;1400 SECRETARÍA DE HACIENDA;1400 SECRETARÍA DE HACIENDA;Evidencias
1,165;2,018;Buzón;Reconocimiento;0600 SECRETARÍA DE INFRAESTRUCTURA;0600 secretaría de infraestructura;Evidencias
1,164;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;840 dirección de espacio público;Evidencias
1,163;2,018;Buzón;Clasificacion pendiente;0800 SECRETARÍA DE GOBIERNO;830 dirección de control físico;Evidencias
1,162;2,018;Buzón;Queja;1500 SECRETARÍA DE GESTIÓN ADMINISTRATIVA;1500 SECRETARÍA DE GESTIÓN ADMINISTRATIVA;Evidencias
1,160;2,018;Web;Peticion;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,159;2,018;Web;Peticion;0700 SECRETARÍA DE VIVIENDA SOCIAL;0700 secretaría de vivienda social;Evidencias
1,158;2,018;Web;Peticion;0600 SECRETARÍA DE INFRAESTRUCTURA;0600 secretaría de infraestructura;Evidencias
1,156;2,018;Web;Peticion;1000 SECRETARÍA DE EDUCACIÓN;1000 secretaría de educación;Evidencias
1,155;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,154;2,018;Web;Peticion;1000 SECRETARÍA DE EDUCACIÓN;1000 secretaría de educación;Evidencias
1,153;2,018;Web;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,152;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,150;2,018;Web;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,105;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;840 dirección de espacio público;Evidencias
1,149;2,018;Personal;Queja;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,148;2,018;Personal;Queja;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,147;2,018;Personal;Queja;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,146;2,018;Personal;Queja;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,145;2,018;Personal;Queja;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,144;2,018;Buzón;Queja;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,143;2,018;Web;Peticion;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,142;2,018;Web;Queja;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;0900 secretaría de salud pública y seguridad social;Evidencias
1,141;2,018;Web;Reconocimiento;0800 SECRETARÍA DE GOBIERNO;830 dirección de control físico;Evidencias
1,140;2,018;Web;Queja;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,139;2,018;Personal;Queja;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;Evidencias
1,137;2,018;Web;Peticion;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,136;2,018;Web;Queja;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,135;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,134;2,018;Web;Reconocimiento;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,133;2,018;Web;Queja;SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,132;2,018;Web;Peticion;0110 SECRETARÍA PRIVADA;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,131;2,018;Web;Peticion;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,130;2,018;Buzón;Queja;1300 SECRETARÍA DE DESARROLLO SOCIAL Y POLITÍCO;1300 secretaría de desarrollo social y politíco;Evidencias
1,129;2,018;Web;Reconocimiento;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,128;2,018;Web;Reconocimiento;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,127;2,018;Web;Reconocimiento;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,126;2,018;Web;Reconocimiento;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,125;2,018;Buzón;Queja;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,124;2,018;Buzón;Queja;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,122;2,018;Personal;Queja;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,121;2,018;Personal;Queja;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,120;2,018;Personal;Queja;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,119;2,018;Personal;Queja;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,118;2,018;Personal;Queja;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,117;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,116;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;830 dirección de control físico830 dirección de control físico;Evidencias
1,115;2,018;Buzón;Reconocimiento;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,114;2,018;Buzón;Reconocimiento;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,113;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,112;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;830 dirección de control físico;Evidencias
1,111;2,018;Buzón;Queja;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,110;2,018;Buzón;Queja;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,109;2,018;Web;Peticion;1500 SECRETARÍA DE GESTIÓN ADMINISTRATIVA;1520 dirección de talento humano;Evidencias
1,108;2,018;Buzón;Peticion;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,107;2,018;Buzón;Peticion;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,106;2,018;Buzón;Queja;1400 SECRETARÍA DE HACIENDA;1400 secretaría de hacienda;Evidencias
1,104;2,018;Buzón;Peticion;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;0900 secretaría de salud pública y seguridad social;Evidencias
1,103;2,018;Buzón;Peticion;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;0900 secretaría de salud pública y seguridad social;Evidencias
1,102;2,018;Buzón;Queja;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;0900 secretaría de salud pública y seguridad social;Evidencias
1,101;2,018;Buzón;Queja;0200 SECRETARÍA DE PLANEACIÓN;0200 secretaría de planeación;Evidencias
1,100;2,018;Buzón;Peticion;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,099;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,098;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,097;2,018;Buzón;Queja;1500 SECRETARÍA DE GESTIÓN ADMINISTRATIVA;1530 dirección de bienes muebles y recursos físicos;Evidencias
1,095;2,018;Buzón;Queja;1400 SECRETARÍA DE HACIENDA;1400 secretaría de hacienda;Evidencias
1,094;2,018;Buzón;Queja;1400 SECRETARÍA DE HACIENDA;1400 secretaría de hacienda;Evidencias
1,093;2,018;Web;Peticion;0800 SECRETARÍA DE GOBIERNO;830 dirección de control físico;Evidencias
1,092;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,089;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,088;2,018;Buzón;Sugerencia;1500 SECRETARÍA DE GESTIÓN ADMINISTRATIVA;1530 dirección de bienes muebles y recursos físicos;Evidencias
1,087;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;830 dirección de control físico;Evidencias
1,086;2,018;Buzón;Peticion;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,085;2,018;Web;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,084;2,018;Web;Peticion;1000 SECRETARÍA DE EDUCACIÓN;1000 secretaría de educación;Evidencias
1,083;2,018;Web;Peticion;1300 SECRETARÍA DE DESARROLLO SOCIAL Y POLITÍCO;1300 secretaría de desarrollo social y politíco;Evidencias
1,082;2,018;Web;Peticion;0600 SECRETARÍA DE INFRAESTRUCTURA;0600 secretaría de infraestructura;Evidencias
1,081;2,018;Web;Peticion;1500 SECRETARÍA DE GESTIÓN ADMINISTRATIVA;1520 dirección de talento humano1000 secretaría de educación;Evidencias
1,080;2,018;Web;Peticion;0200 SECRETARÍA DE PLANEACIÓN;240 dirección estratégica del sistema de gestion ambiental municipal;Evidencias
1,079;2,018;Buzón;Queja;1000 SECRETARÍA DE EDUCACIÓN;1000 secretaría de educación;Evidencias
1,078;2,018;Web;Peticion;OFICINA DE PAZ;0130 oficina de paz, reconciliación y posconflicto;Evidencias
1,077;2,018;Web;Reconocimiento;1000 SECRETARÍA DE EDUCACIÓN;1000 secretaría de educación;Evidencias
1,076;2,018;Web;Peticion;0200 SECRETARÍA DE PLANEACIÓN;0200 secretaría de planeación;Evidencias
1,074;2,018;Web;Peticion;1500 SECRETARÍA DE GESTIÓN ADMINISTRATIVA;1520 dirección de talento humano;Evidencias
1,073;2,018;Web;Peticion;1500 SECRETARÍA DE GESTIÓN ADMINISTRATIVA;1520 dirección de talento humano;Evidencias
1,071;2,018;Web;Peticion;1200 SECRETARÍA DE DEPORTE Y RECREACIÓN;1200 secretaría de deporte y recreación;Evidencias
1,070;2,018;Web;Peticion;1200 SECRETARÍA DE DEPORTE Y RECREACIÓN;1200 secretaría de deporte y recreación;Evidencias
1,069;2,018;Web;Peticion;1000 SECRETARÍA DE EDUCACIÓN;1000 secretaría de educación;Evidencias
1,068;2,018;Web;Peticion;0600 SECRETARÍA DE INFRAESTRUCTURA;0600 secretaría de infraestructura;Evidencias
1,067;2,018;Buzón;Queja;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;Evidencias
1,066;2,018;Web;Peticion;1000 SECRETARÍA DE EDUCACIÓN;1000 secretaría de educación;Evidencias
1,065;2,018;Web;Reconocimiento;1400 SECRETARÍA DE HACIENDA;1400 SECRETARÍA DE HACIENDA;Evidencias
1,064;2,018;Web;Reclamo;0150 OFICINA ASESORA DE PRENSA Y COMUNICACIONES;0150 oficina asesora de prensa y comunicaciones;Evidencias
1,063;2,018;Buzón;Queja;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;Evidencias
1,062;2,018;Buzón;Peticion;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,061;2,018;Buzón;Clasificacion pendiente;0700 SECRETARÍA DE VIVIENDA SOCIAL;0700 secretaría de vivienda social;Evidencias
1,060;2,018;Buzón;Clasificacion pendiente;0110 SECRETARÍA PRIVADA;0110 secretaría privada;Evidencias
1,058;2,018;Web;Reclamo;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,057;2,018;Web;Queja;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,056;2,018;Web;Peticion;0600 SECRETARÍA DE INFRAESTRUCTURA;0600 secretaría de infraestructura;Evidencias
1,055;2,018;Buzón;Clasificacion pendiente;0200 SECRETARÍA DE PLANEACIÓN;0200 secretaría de planeación;Evidencias
1,054;2,018;Buzón;Clasificacion pendiente;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,053;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;830 dirección de control físico;Evidencias
1,052;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,051;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,050;2,018;Web;Queja;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;0900 secretaría de salud pública y seguridad social;Evidencias
1,049;2,018;Web;Peticion;0600 SECRETARÍA DE INFRAESTRUCTURA;0600 secretaría de infraestructura;Evidencias
1,048;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,047;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,046;2,018;Buzón;Reclamo;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,045;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,044;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,043;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,042;2,018;Web;Peticion;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,041;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,040;2,018;Web;Peticion;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,038;2,018;Web;Peticion;0600 SECRETARÍA DE INFRAESTRUCTURA;0600 secretaría de infraestructura;Evidencias
1,037;2,018;Web;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,036;2,018;Web;Queja;0800 SECRETARÍA DE GOBIERNO;830 dirección de control físico;Evidencias
1,035;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,032;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,031;2,018;Buzón;Peticion;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,030;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
